,Date,Country,Energy_MoM,Food_MoM,Total_MoM,core_MoM,exchange_rate,unemployment_rate,gdp_growth_MoM,Open,High,Low,Close,Adj Close,Volume,interest_rate
5666,2017-08-01,France,1.687326975,1.687326975,1.687326975,1.687326975,100.7,9.5,0.2190480567915782,0.5824165051664918,0.5753271122542735,0.595897451009974,0.5843237934898237,0.5843237934898237,0.6563436385400199,0.0
5667,2017-08-01,Germany,1.881944,1.881944,1.881944,1.881944,101.12,3.5,0.1768759887120354,1.188575634983546,1.175770063124292,1.192092258207282,1.1789964594326483,1.1789964594326483,0.1584378345919822,0.0
5668,2017-08-01,Italy,1.8516855,1.8516855,1.8516855,1.8516855,102.91,11.3,0.1144847537950886,-0.6061839293292233,-0.6032557362260067,-0.5902381919052562,-0.5951658702567327,-0.5951658702567327,-0.6885427079005856,0.0
5669,2017-08-01,Japan,2.128391025,2.128391025,2.128391025,2.128391025,96.97,2.8,0.2383368469889177,0.6501684955185324,0.6488570143583773,0.6624685657848987,0.656705404914565,0.656705404914565,0.8779639509486984,-0.1
5670,2017-08-01,United Kingdom,3.2,3.2,3.2,3.2,96.81,4.3,0.1782018041259072,1.2466647077556443,1.2630705373864128,1.2697515466879952,1.2791502343693786,1.2791502343693786,0.1526777817090295,0.25
5671,2017-08-01,United States,2.58460015,2.58460015,2.58460015,2.58460015,93.59,4.4,0.213849754147239,1.5977476501888317,1.596004863647378,1.610765377134111,1.6051088281524146,1.6051088281524146,1.3701622573816823,1.125
5672,2017-09-01,Canada,2.161387775,2.161387775,2.161387775,2.161387775,107.17,6.2,0.0103596866153148,1.1571214142212694,1.1524385362999372,1.1687545890624254,1.1552104150450764,1.1551410457421898,0.7449510609953987,1.0
5673,2017-09-01,France,1.877578225,1.877578225,1.877578225,1.877578225,100.51,9.3,0.2190480567915782,0.7186484061186812,0.7177064363760814,0.734086308607697,0.7395960448790304,0.7395960448790304,0.3144606370402006,0.0
5674,2017-09-01,Germany,2.11846725,2.11846725,2.11846725,2.11846725,101.11,3.5,0.1768759887120354,1.3288960502079663,1.3344679114775484,1.3469144907929398,1.351897799256112,1.351897799256112,0.5853133740658867,0.0
5675,2017-09-01,Italy,1.6711577,1.6711577,1.6711577,1.6711577,102.59,11.2,0.1144847537950886,-0.4800582247334756,-0.4894084572955347,-0.4689892218235728,-0.4699160918132746,-0.4699160918132746,-0.6145595994206462,0.0
5676,2017-09-01,Japan,2.322956,2.322956,2.322956,2.322956,95.71,2.8,0.2383368469889177,0.7318404545577185,0.7253603809428728,0.7421690654633485,0.7368051419928096,0.7368051419928096,0.6757224561223604,-0.1
5677,2017-09-01,United Kingdom,3.525,3.525,3.525,3.525,98.79,4.3,0.1782018041259072,1.2253776549038415,1.2327000817059064,1.2478817200038157,1.2501998531074947,1.2501998531074947,0.1003685575089264,0.25
5678,2017-09-01,United States,3.622617525,3.622617525,3.622617525,3.622617525,93.08,4.3,0.213849754147239,1.6407748560315556,1.636704317565156,1.6527686483032211,1.6490433391905872,1.6490433391905872,1.2911649539540175,1.125
