TIME_PERIOD,interest_rate,country
1996-08,3.35,France
1996-09,3.25,France
1996-10,3.25,France
1996-11,3.2,France
1996-12,3.15,France
1997-01,3.1,France
1997-02,3.1,France
1997-03,3.1,France
1997-04,3.1,France
1997-05,3.1,France
1997-06,3.1,France
1997-07,3.1,France
1997-08,3.1,France
1997-09,3.1,France
1997-10,3.3,France
1997-11,3.3,France
1997-12,3.3,France
1998-01,3.3,France
1998-02,3.3,France
1998-03,3.3,France
1998-04,3.3,France
1998-05,3.3,France
1998-06,3.3,France
1998-07,3.3,France
1998-08,3.3,France
1998-09,3.3,France
1998-10,3.3,France
1998-11,3.3,France
1998-12,3.0,France
1999-01,3.0,France
1999-02,3.0,France
1999-03,3.0,France
1999-04,2.5,France
1999-05,2.5,France
1999-06,2.5,France
1999-07,2.5,France
1999-08,2.5,France
1999-09,2.5,France
1999-10,2.5,France
1999-11,3.0,France
1999-12,3.0,France
2000-01,3.0,France
2000-02,3.25,France
2000-03,3.5,France
2000-04,3.75,France
2000-05,3.75,France
2000-06,4.25,France
2000-07,4.25,France
2000-08,4.25,France
2000-09,4.25,France
2000-10,4.25,France
2000-11,4.25,France
2000-12,4.25,France
2001-01,4.25,France
2001-02,4.25,France
2001-03,4.25,France
2001-04,4.25,France
2001-05,4.25,France
2001-06,4.25,France
2001-07,4.25,France
2001-08,4.25,France
2001-09,4.25,France
2001-10,4.25,France
2001-11,4.25,France
2001-12,4.25,France
2002-01,4.25,France
2002-02,4.25,France
2002-03,4.25,France
2002-04,4.25,France
2002-05,4.25,France
2002-06,4.25,France
2002-07,4.25,France
2002-08,4.25,France
2002-09,4.25,France
2002-10,4.25,France
2002-11,4.25,France
2002-12,4.25,France
2003-01,4.25,France
2003-02,4.25,France
2003-03,4.25,France
2003-04,4.25,France
2003-05,4.25,France
2003-06,4.25,France
2003-07,4.25,France
2003-08,4.25,France
2003-09,4.25,France
2003-10,4.25,France
2003-11,4.25,France
2003-12,4.25,France
2004-01,4.25,France
2004-02,4.25,France
2004-03,4.25,France
2004-04,4.25,France
2004-05,4.25,France
2004-06,4.25,France
2004-07,4.25,France
2004-08,4.25,France
2004-09,4.25,France
2004-10,4.25,France
2004-11,4.25,France
2004-12,4.25,France
2005-01,4.25,France
2005-02,4.25,France
2005-03,4.25,France
2005-04,4.25,France
2005-05,4.25,France
2005-06,4.25,France
2005-07,4.25,France
2005-08,4.25,France
2005-09,4.25,France
2005-10,4.25,France
2005-11,4.25,France
2005-12,4.25,France
2006-01,4.25,France
2006-02,4.25,France
2006-03,4.25,France
2006-04,4.25,France
2006-05,4.25,France
2006-06,4.25,France
2006-07,4.25,France
2006-08,4.25,France
2006-09,4.25,France
2006-10,4.25,France
2006-11,4.25,France
2006-12,4.25,France
2007-01,4.25,France
2007-02,4.25,France
2007-03,4.25,France
2007-04,4.25,France
2007-05,4.25,France
2007-06,4.25,France
2007-07,4.25,France
2007-08,4.25,France
2007-09,4.25,France
2007-10,4.25,France
2007-11,4.25,France
2007-12,4.25,France
2008-01,4.25,France
2008-02,4.25,France
2008-03,4.25,France
2008-04,4.25,France
2008-05,4.25,France
2008-06,4.25,France
2008-07,4.25,France
2008-08,4.25,France
2008-09,4.25,France
2008-10,3.75,France
2008-11,3.25,France
2008-12,2.5,France
2009-01,2.0,France
2009-02,2.0,France
2009-03,1.5,France
2009-04,1.25,France
2009-05,1.0,France
2009-06,1.0,France
2009-07,1.0,France
2009-08,1.0,France
2009-09,1.0,France
2009-10,1.0,France
2009-11,1.0,France
2009-12,1.0,France
2010-01,1.0,France
2010-02,1.0,France
2010-03,1.0,France
2010-04,1.0,France
2010-05,1.0,France
2010-06,1.0,France
2010-07,1.0,France
2010-08,1.0,France
2010-09,1.0,France
2010-10,1.0,France
2010-11,1.0,France
2010-12,1.0,France
2011-01,1.0,France
2011-02,1.0,France
2011-03,1.0,France
2011-04,1.25,France
2011-05,1.25,France
2011-06,1.25,France
2011-07,1.5,France
2011-08,1.5,France
2011-09,1.5,France
2011-10,1.5,France
2011-11,1.25,France
2011-12,1.0,France
2012-01,1.0,France
2012-02,1.0,France
2012-03,1.0,France
2012-04,1.0,France
2012-05,1.0,France
2012-06,1.0,France
2012-07,0.75,France
2012-08,0.75,France
2012-09,0.75,France
2012-10,0.75,France
2012-11,0.75,France
2012-12,0.75,France
2013-01,0.75,France
2013-02,0.75,France
2013-03,0.75,France
2013-04,0.75,France
2013-05,0.5,France
2013-06,0.5,France
2013-07,0.5,France
2013-08,0.5,France
2013-09,0.5,France
2013-10,0.5,France
2013-11,0.25,France
2013-12,0.25,France
2014-01,0.25,France
2014-02,0.25,France
2014-03,0.25,France
2014-04,0.25,France
2014-05,0.25,France
2014-06,0.15,France
2014-07,0.15,France
2014-08,0.15,France
2014-09,0.05,France
2014-10,0.05,France
2014-11,0.05,France
2014-12,0.05,France
2015-01,0.05,France
2015-02,0.05,France
2015-03,0.05,France
2015-04,0.05,France
2015-05,0.05,France
2015-06,0.05,France
2015-07,0.05,France
2015-08,0.05,France
2015-09,0.05,France
2015-10,0.05,France
2015-11,0.05,France
2015-12,0.05,France
2016-01,0.05,France
2016-02,0.05,France
2016-03,0.0,France
2016-04,0.0,France
2016-05,0.0,France
2016-06,0.0,France
2016-07,0.0,France
2016-08,0.0,France
2016-09,0.0,France
2016-10,0.0,France
2016-11,0.0,France
2016-12,0.0,France
2017-01,0.0,France
2017-02,0.0,France
2017-03,0.0,France
2017-04,0.0,France
2017-05,0.0,France
2017-06,0.0,France
2017-07,0.0,France
2017-08,0.0,France
2017-09,0.0,France
2017-10,0.0,France
2017-11,0.0,France
2017-12,0.0,France
2018-01,0.0,France
2018-02,0.0,France
2018-03,0.0,France
2018-04,0.0,France
2018-05,0.0,France
2018-06,0.0,France
2018-07,0.0,France
2018-08,0.0,France
2018-09,0.0,France
2018-10,0.0,France
2018-11,0.0,France
2018-12,0.0,France
2019-01,0.0,France
2019-02,0.0,France
2019-03,0.0,France
2019-04,0.0,France
2019-05,0.0,France
2019-06,0.0,France
2019-07,0.0,France
2019-08,0.0,France
2019-09,0.0,France
2019-10,0.0,France
2019-11,0.0,France
2019-12,0.0,France
2020-01,0.0,France
2020-02,0.0,France
2020-03,0.0,France
2020-04,0.0,France
2020-05,0.0,France
2020-06,0.0,France
2020-07,0.0,France
2020-08,0.0,France
2020-09,0.0,France
2020-10,0.0,France
2020-11,0.0,France
2020-12,0.0,France
2021-01,0.0,France
2021-02,0.0,France
2021-03,0.0,France
2021-04,0.0,France
2021-05,0.0,France
2021-06,0.0,France
2021-07,0.0,France
2021-08,0.0,France
2021-09,0.0,France
2021-10,0.0,France
2021-11,0.0,France
2021-12,0.0,France
2022-01,0.0,France
2022-02,0.0,France
2022-03,0.0,France
2022-04,0.0,France
2022-05,0.0,France
2022-06,0.0,France
2022-07,0.5,France
2022-08,0.5,France
2022-09,1.25,France
2022-10,1.25,France
2022-11,2.0,France
2022-12,2.5,France
2023-01,2.5,France
2023-02,3.0,France
2023-03,3.5,France
2023-04,3.5,France
2023-05,3.75,France
2023-06,4.0,France
2023-07,4.0,France
2023-08,4.25,France
2023-09,4.5,France
2023-10,4.5,France
2023-11,4.5,France
2023-12,4.5,France
2024-01,4.5,France
2024-02,4.5,France
2024-03,4.5,France
2024-04,4.5,France
2024-05,4.5,France
2024-06,4.25,France
2024-07,4.25,France
2024-08,4.25,France
2024-09,3.65,France
1948-07,5.0,Germany
1948-08,5.0,Germany
1948-09,5.0,Germany
1948-10,5.0,Germany
1948-11,5.0,Germany
1948-12,5.0,Germany
1949-01,5.0,Germany
1949-02,5.0,Germany
1949-03,5.0,Germany
1949-04,5.0,Germany
1949-05,4.5,Germany
1949-06,4.5,Germany
1949-07,4.0,Germany
1949-08,4.0,Germany
1949-09,4.0,Germany
1949-10,4.0,Germany
1949-11,4.0,Germany
1949-12,4.0,Germany
1950-01,4.0,Germany
1950-02,4.0,Germany
1950-03,4.0,Germany
1950-04,4.0,Germany
1950-05,4.0,Germany
1950-06,4.0,Germany
1950-07,4.0,Germany
1950-08,4.0,Germany
1950-09,4.0,Germany
1950-10,6.0,Germany
1950-11,6.0,Germany
1950-12,6.0,Germany
1951-01,6.0,Germany
1951-02,6.0,Germany
1951-03,6.0,Germany
1951-04,6.0,Germany
1951-05,6.0,Germany
1951-06,6.0,Germany
1951-07,6.0,Germany
1951-08,6.0,Germany
1951-09,6.0,Germany
1951-10,6.0,Germany
1951-11,6.0,Germany
1951-12,6.0,Germany
1952-01,6.0,Germany
1952-02,6.0,Germany
1952-03,6.0,Germany
1952-04,6.0,Germany
1952-05,5.0,Germany
1952-06,5.0,Germany
1952-07,5.0,Germany
1952-08,4.5,Germany
1952-09,4.5,Germany
1952-10,4.5,Germany
1952-11,4.5,Germany
1952-12,4.5,Germany
1953-01,4.0,Germany
1953-02,4.0,Germany
1953-03,4.0,Germany
1953-04,4.0,Germany
1953-05,4.0,Germany
1953-06,3.5,Germany
1953-07,3.5,Germany
1953-08,3.5,Germany
1953-09,3.5,Germany
1953-10,3.5,Germany
1953-11,3.5,Germany
1953-12,3.5,Germany
1954-01,3.5,Germany
1954-02,3.5,Germany
1954-03,3.5,Germany
1954-04,3.5,Germany
1954-05,3.0,Germany
1954-06,3.0,Germany
1954-07,3.0,Germany
1954-08,3.0,Germany
1954-09,3.0,Germany
1954-10,3.0,Germany
1954-11,3.0,Germany
1954-12,3.0,Germany
1955-01,3.0,Germany
1955-02,3.0,Germany
1955-03,3.0,Germany
1955-04,3.0,Germany
1955-05,3.0,Germany
1955-06,3.0,Germany
1955-07,3.0,Germany
1955-08,3.5,Germany
1955-09,3.5,Germany
1955-10,3.5,Germany
1955-11,3.5,Germany
1955-12,3.5,Germany
1956-01,3.5,Germany
1956-02,3.5,Germany
1956-03,4.5,Germany
1956-04,4.5,Germany
1956-05,5.5,Germany
1956-06,5.5,Germany
1956-07,5.5,Germany
1956-08,5.5,Germany
1956-09,5.0,Germany
1956-10,5.0,Germany
1956-11,5.0,Germany
1956-12,5.0,Germany
1957-01,4.5,Germany
1957-02,4.5,Germany
1957-03,4.5,Germany
1957-04,4.5,Germany
1957-05,4.5,Germany
1957-06,4.5,Germany
1957-07,4.5,Germany
1957-08,4.5,Germany
1957-09,4.0,Germany
1957-10,4.0,Germany
1957-11,4.0,Germany
1957-12,4.0,Germany
1958-01,3.5,Germany
1958-02,3.5,Germany
1958-03,3.5,Germany
1958-04,3.5,Germany
1958-05,3.5,Germany
1958-06,3.0,Germany
1958-07,3.0,Germany
1958-08,3.0,Germany
1958-09,3.0,Germany
1958-10,3.0,Germany
1958-11,3.0,Germany
1958-12,3.0,Germany
1959-01,2.75,Germany
1959-02,2.75,Germany
1959-03,2.75,Germany
1959-04,2.75,Germany
1959-05,2.75,Germany
1959-06,2.75,Germany
1959-07,2.75,Germany
1959-08,2.75,Germany
1959-09,3.0,Germany
1959-10,4.0,Germany
1959-11,4.0,Germany
1959-12,4.0,Germany
1960-01,4.0,Germany
1960-02,4.0,Germany
1960-03,4.0,Germany
1960-04,4.0,Germany
1960-05,4.0,Germany
1960-06,5.0,Germany
1960-07,5.0,Germany
1960-08,5.0,Germany
1960-09,5.0,Germany
1960-10,5.0,Germany
1960-11,4.0,Germany
1960-12,4.0,Germany
1961-01,3.5,Germany
1961-02,3.5,Germany
1961-03,3.5,Germany
1961-04,3.5,Germany
1961-05,3.0,Germany
1961-06,3.0,Germany
1961-07,3.0,Germany
1961-08,3.0,Germany
1961-09,3.0,Germany
1961-10,3.0,Germany
1961-11,3.0,Germany
1961-12,3.0,Germany
1962-01,3.0,Germany
1962-02,3.0,Germany
1962-03,3.0,Germany
1962-04,3.0,Germany
1962-05,3.0,Germany
1962-06,3.0,Germany
1962-07,3.0,Germany
1962-08,3.0,Germany
1962-09,3.0,Germany
1962-10,3.0,Germany
1962-11,3.0,Germany
1962-12,3.0,Germany
1963-01,3.0,Germany
1963-02,3.0,Germany
1963-03,3.0,Germany
1963-04,3.0,Germany
1963-05,3.0,Germany
1963-06,3.0,Germany
1963-07,3.0,Germany
1963-08,3.0,Germany
1963-09,3.0,Germany
1963-10,3.0,Germany
1963-11,3.0,Germany
1963-12,3.0,Germany
1964-01,3.0,Germany
1964-02,3.0,Germany
1964-03,3.0,Germany
1964-04,3.0,Germany
1964-05,3.0,Germany
1964-06,3.0,Germany
1964-07,3.0,Germany
1964-08,3.0,Germany
1964-09,3.0,Germany
1964-10,3.0,Germany
1964-11,3.0,Germany
1964-12,3.0,Germany
1965-01,3.5,Germany
1965-02,3.5,Germany
1965-03,3.5,Germany
1965-04,3.5,Germany
1965-05,3.5,Germany
1965-06,3.5,Germany
1965-07,3.5,Germany
1965-08,4.0,Germany
1965-09,4.0,Germany
1965-10,4.0,Germany
1965-11,4.0,Germany
1965-12,4.0,Germany
1966-01,4.0,Germany
1966-02,4.0,Germany
1966-03,4.0,Germany
1966-04,4.0,Germany
1966-05,5.0,Germany
1966-06,5.0,Germany
1966-07,5.0,Germany
1966-08,5.0,Germany
1966-09,5.0,Germany
1966-10,5.0,Germany
