Time Series Search Export,Search term,Search filters,,Last update of Central bank policy rates data,Downloaded at,Source,Source URL,Download URL,About Central bank policy rates
,,,,2024-10-10,2024-10-11 15:29 CEST,BIS,"https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.US?","https:/data.bis.org/topics/CBPOL/BIS,WS_CBPOL,1.0/M.US?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/CBPOL

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-11-30,F:Free,,A:Normal value,2.88
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1962-12-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-01-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-02-28,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-03-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-04-30,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-05-31,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-06-30,F:Free,,A:Normal value,3.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-07-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-08-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-09-30,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-10-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-11-30,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1963-12-31,F:Free,,A:Normal value,3.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-01-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-02-29,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-03-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-04-30,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-05-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-06-30,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-07-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-08-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-09-30,F:Free,,A:Normal value,2.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-10-31,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-11-30,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1964-12-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-01-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-02-28,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-03-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-04-30,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-05-31,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-06-30,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-07-31,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-08-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-09-30,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-10-31,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-11-30,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1965-12-31,F:Free,,A:Normal value,4.63
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-01-31,F:Free,,A:Normal value,4.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-02-28,F:Free,,A:Normal value,4.63
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-03-31,F:Free,,A:Normal value,4.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-04-30,F:Free,,A:Normal value,4.63
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-05-31,F:Free,,A:Normal value,4.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-06-30,F:Free,,A:Normal value,5.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-07-31,F:Free,,A:Normal value,5.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-08-31,F:Free,,A:Normal value,4.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-09-30,F:Free,,A:Normal value,5.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-10-31,F:Free,,A:Normal value,5.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-11-30,F:Free,,A:Normal value,5.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1966-12-31,F:Free,,A:Normal value,5.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-01-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-02-28,F:Free,,A:Normal value,4.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-03-31,F:Free,,A:Normal value,4.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-04-30,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-05-31,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-06-30,F:Free,,A:Normal value,3.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-07-31,F:Free,,A:Normal value,3.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-08-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-09-30,F:Free,,A:Normal value,3.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-10-31,F:Free,,A:Normal value,4.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-11-30,F:Free,,A:Normal value,4.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1967-12-31,F:Free,,A:Normal value,4.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-01-31,F:Free,,A:Normal value,4.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-02-29,F:Free,,A:Normal value,4.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-03-31,F:Free,,A:Normal value,5.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-04-30,F:Free,,A:Normal value,6.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-05-31,F:Free,,A:Normal value,6.13
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-06-30,F:Free,,A:Normal value,5.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-07-31,F:Free,,A:Normal value,6.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-08-31,F:Free,,A:Normal value,5.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-09-30,F:Free,,A:Normal value,5.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-10-31,F:Free,,A:Normal value,6.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-11-30,F:Free,,A:Normal value,6.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1968-12-31,F:Free,,A:Normal value,4.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-01-31,F:Free,,A:Normal value,6.38
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-02-28,F:Free,,A:Normal value,7.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-03-31,F:Free,,A:Normal value,6.25
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-04-30,F:Free,,A:Normal value,8.0
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-05-31,F:Free,,A:Normal value,9.38
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-06-30,F:Free,,A:Normal value,7.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-07-31,F:Free,,A:Normal value,8.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-08-31,F:Free,,A:Normal value,9.75
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-09-30,F:Free,,A:Normal value,8.5
"BIS,WS_CBPOL,1.0",M.US,M:Monthly,US:United States,Per cent per year,Units,1969-10-31,F:Free,,A:Normal value,9.0
